id,semantic,tags,category,description
KensIcons-scanner,kensicons-scanner,"scanner,kensicons",ui,Kensicons Scanner icon
KensIcons-start-here,kensicons-start-here,"here,kensicons,start",ui,Kensicons Start Here icon
KensIcons-stock_person,kensicons-stock-person,"kensicons,person,stock",ui,Kensicons Stock Person icon
KensIcons-system-file-manager,kensicons-system-file-manager,"file,kensicons,system,manager",files,Kensicons System File Manager icon
KensIcons-system-help,kensicons-system-help,"kensicons,system,help",ui,Kensicons System Help icon
KensIcons-system-run,kensicons-system-run,"kensicons,system,run",ui,Kensicons System Run icon
KensIcons-system-search,kensicons-system-search,"kensicons,system,search",ui,Kensicons System Search icon
KensIcons-system-software-install,kensicons-system-software-install,"kensicons,system,install,software",ui,Kensicons System Software Install icon
KensIcons-system-software-update,kensicons-system-software-update,"update,kensicons,system,software",ui,Kensicons System Software Update icon
KensIcons-system-users,kensicons-system-users,"kensicons,system,users",ui,Kensicons System Users icon
KensIcons-text-html,kensicons-text-html,"html,kensicons,text",files,Kensicons Text Html icon
KensIcons-text-x-generic,kensicons-text-x-generic,"x,kensicons,text,generic",files,Kensicons Text X Generic icon
KensIcons-text-x-generic-template,kensicons-text-x-generic-template,"x,generic,kensicons,text,template",files,Kensicons Text X Generic Template icon
KensIcons-text-x-preview,kensicons-text-x-preview,"x,kensicons,text,preview",files,Kensicons Text X Preview icon
KensIcons-text-x-script,kensicons-text-x-script,"x,kensicons,text,script",files,Kensicons Text X Script icon
KensIcons-user-bookmarks,kensicons-user-bookmarks,"bookmarks,kensicons,user",files,Kensicons User Bookmarks icon
KensIcons-user-desktop,kensicons-user-desktop,"desktop,kensicons,user",ui,Kensicons User Desktop icon
KensIcons-user-home,kensicons-user-home,"home,kensicons,user",ui,Kensicons User Home icon
KensIcons-user-info,kensicons-user-info,"kensicons,info,user",ui,Kensicons User Info icon
KensIcons-user-trash-full,kensicons-user-trash-full,"trash,kensicons,full,user",ui,Kensicons User Trash Full icon
KensIcons-user-trash,kensicons-user-trash,"trash,kensicons,user",ui,Kensicons User Trash icon
KensIcons-utilities-system-monitor,kensicons-utilities-system-monitor,"utilities,kensicons,system,monitor",ui,Kensicons Utilities System Monitor icon
KensIcons-utilities-terminal,kensicons-utilities-terminal,"utilities,kensicons,terminal",ui,Kensicons Utilities Terminal icon
KensIcons-video-display,kensicons-video-display,"display,kensicons,video",ui,Kensicons Video Display icon
KensIcons-video-x-generic,kensicons-video-x-generic,"x,kensicons,generic,video",ui,Kensicons Video X Generic icon
KensIcons-view-refresh,kensicons-view-refresh,"view,kensicons,refresh",ui,Kensicons View Refresh icon
KensIcons-web-browser,kensicons-web-browser,"kensicons,web,browser",network,Kensicons Web Browser icon
KensIcons-window-new,kensicons-window-new,"new,kensicons,window",ui,Kensicons Window New icon
KensIcons-window,kensicons-window,"kensicons,window",ui,Kensicons Window icon
KensIcons-x-office-address-book,kensicons-x-office-address-book,"x,book,office,kensicons,address",files,Kensicons X Office Address Book icon
KensIcons-x-office-calendar,kensicons-x-office-calendar,"x,kensicons,calendar,office",ui,Kensicons X Office Calendar icon
KensIcons-x-office-document,kensicons-x-office-document,"x,kensicons,document,office",files,Kensicons X Office Document icon
KensIcons-x-office-document-template,kensicons-x-office-document-template,"x,document,office,kensicons,template",files,Kensicons X Office Document Template icon
KensIcons-x-office-drawing,kensicons-x-office-drawing,"x,kensicons,drawing,office",ui,Kensicons X Office Drawing icon
